transaction_id,bill_id,date,store_id,store_location,customer_id,customer_segment,product_id,product_category,product_name,quantity,unit_price,payment_method,discount_applied,channel
TXN-2025-0001,BILL-1001,22-02-2025,S1,Downtown,C058,Regular,P101,Beverages,Orange Juice 1L,5,3.48,UPI,0,In-store
TXN-2025-0002,BILL-1001,30-04-2025,S5,West End,C008,Regular,P102,Beverages,Organic Green Tea 250ml,5,1.88,UPI,0.76,In-store
TXN-2025-0003,BILL-1001,23-04-2025,S1,Downtown,C180,Regular,P501,Bakery,Whole Wheat Bread,5,1.48,Cash,0.04,In-store
TXN-2025-0004,BILL-1001,24-06-2025,S3,Suburban,C041,New,P701,Frozen,Frozen Pizza,3,4.73,Cash,0.08,Online
TXN-2025-0005,BILL-1001,26-06-2025,S2,Uptown,C098,Regular,P701,Frozen,Frozen Pizza,6,4.51,Credit Card,1.15,In-store
TXN-2025-0006,BILL-1001,31-05-2025,S1,Downtown,C097,Regular,P602,Dairy,Cheddar Cheese 200g,1,2.99,Credit Card,0,In-store
TXN-2025-0007,BILL-1001,27-04-2025,S5,West End,C181,Regular,P801,Produce,Bananas (1kg),2,1.39,Credit Card,0.06,In-store
TXN-2025-0008,BILL-1001,22-11-2025,S1,Downtown,C098,Regular,P801,Produce,Bananas (1kg),2,1.47,Cash,0.59,Online
TXN-2025-0009,BILL-1002,28-11-2025,S2,Uptown,C069,New,P302,Personal Care,Toothpaste 100g,1,1.82,Credit Card,0.02,In-store
TXN-2025-0010,BILL-1002,24-11-2025,S2,Uptown,C119,Regular,P501,Bakery,Whole Wheat Bread,2,1.39,UPI,1.26,In-store
TXN-2025-0011,BILL-1002,17-01-2025,S2,Uptown,C199,Regular,P601,Dairy,Milk 1L,4,1.06,Credit Card,1.4,Online
TXN-2025-0012,BILL-1003,11-06-2025,S4,East Side,C146,Loyal,P301,Personal Care,Shampoo 250ml,1,3.77,Cash,0.8,In-store
TXN-2025-0013,BILL-1003,15-10-2025,S4,East Side,C068,Regular,P401,Household,Laundry Detergent 1kg,5,6.27,UPI,0.14,In-store
TXN-2025-0014,BILL-1003,12-03-2025,S5,West End,C057,Loyal,P401,Household,Laundry Detergent 1kg,2,6.19,UPI,1.72,In-store
TXN-2025-0015,BILL-1003,05-08-2025,S1,Downtown,C040,New,P701,Frozen,Frozen Pizza,1,4.73,Cash,0.67,Online
TXN-2025-0016,BILL-1003,11-10-2025,S4,East Side,C136,Regular,P401,Household,Laundry Detergent 1kg,5,7.35,UPI,1.21,Online
TXN-2025-0017,BILL-1003,25-11-2025,S1,Downtown,C138,New,P601,Dairy,Milk 1L,6,1.15,UPI,0.71,In-store
TXN-2025-0018,BILL-1003,15-05-2025,S3,Suburban,C185,Loyal,P401,Household,Laundry Detergent 1kg,6,6.8,Cash,1.81,In-store
TXN-2025-0019,BILL-1003,17-09-2025,S2,Uptown,C077,New,P501,Bakery,Whole Wheat Bread,6,1.46,Cash,0,Online
TXN-2025-0020,BILL-1003,01-01-2025,S2,Uptown,C200,Loyal,P302,Personal Care,Toothpaste 100g,6,1.63,Cash,0.09,In-store
TXN-2025-0021,BILL-1003,04-05-2025,S4,East Side,C079,Regular,P101,Beverages,Orange Juice 1L,5,3.83,Cash,1.32,Online
TXN-2025-0022,BILL-1003,30-09-2025,S1,Downtown,C018,Loyal,P102,Beverages,Organic Green Tea 250ml,2,2.19,UPI,1.25,In-store
TXN-2025-0023,BILL-1003,07-11-2025,S2,Uptown,C043,Regular,P601,Dairy,Milk 1L,6,1.24,Credit Card,0,Online
